БМВ 3 серии 2004|2835|33|330000|2004|86|0|0|левый руль|пробег по РФ|б/у|БМВ 3 серии 2004 в Новоаганске, седан, привод задний, Мультируль, музика, анти букс, анти юз, с пробегом, мкпп, бензин
BMW 3-Series 1997|2835|33|180000|1997|63|2500|0|левый руль|пробег по РФ|б/у|BMW 3-Series 1997 года в Самаре, 2.5 литра, механика, Двигатель коробка ходовая в отличном состоянии, бу, бензин, седан
БМВ 3 серии 2010|2835|33|610000|2010|61|2500|0|левый руль|пробег по РФ|б/у|BMW 3-Series 10 в Ростове-на-Дону, полный привод, автомат, седан, Автомобиль в идеальном состоянии, бу, цена 610 тысяч рублей, 2.5 литра
БМВ 3 серии 2008|2835|33|525000|2008|74|2500|0|левый руль|пробег по РФ|б/у|Продажа BMW 3-Series 2008 в Челябинске, седан, бензин, бу, Челябинская область, коробка автомат, Продам bmw 325i
БМВ 3 серии 2016|2835|33|1645000|2016|24|2000|0|левый руль|пробег по РФ|б/у|Продам авто БМВ 3 серии 16 год в Красноярске, обмен на более дешевую, комплектация 320d AT xDrive Sport Line, дилер ЭлитАвто, цена 1.6 млн.р., дизель, 4 вд, седан, ОСМОТР АВТОМОБИЛЯ ПО ПРЕДВАРИТЕЛЬНОМУ СОГЛАСОВАНИЮ, 2000 куб.см, АКПП
BMW 3-Series 1999|2835|33|235000|1999|23|1900|0|левый руль|пробег по РФ|б/у|БМВ 3 серии 99 год в Анапе, Продам хорошую БМВ, бенз., мкпп, 1.9л., 318i MT, с пробегом 300тысяч км, седан
БМВ 3 серии 2015|2835|33|1500000|2015|23|1500|0|левый руль|пробег по РФ|б/у|BMW 3-Series 2015 год в Краснодаре, комплектация 318i AT, 1 500 000рублей, 1.5л., бензиновый двигатель, Обмен только с доплатой в мою сторону, Я 3- й хозяин, машина моя, 1.5 136 л. с. рестайлинг, седан, АКПП
БМВ 3 серии 2019|2835|33|3200000|2019|50|2000|0|левый руль|пробег по РФ|б/у|БМВ 3 серии 2019 в Мытищах, серый, пробег 11 тыс.км, комплектация 320d AT xDrive, Машина покупалась 29.09.19 у официального дилера в Балашихе, 4 wd, дизель, 2л., автомат, седан
БМВ 3 серии 1993|2835|33|150000|1993|23|1600|0|левый руль|пробег по РФ|б/у|Продажа БМВ 3 серии 1993 в Белой Глине, бензин, с пробегом 555555 км, седан, Краснодарский край, 1.6 л., АКПП, Авто на полном ходу
БМВ 3 серии 2004|2835|33|250000|2004|72|2000|0|левый руль|пробег по РФ|б/у|БМВ 3 серии 2004 в Тюмени, седан, обмен на равноценную, на более дешевую, бензин, подтикает радиатор, в остальном все норм интересен обмен, черный
